,Annual Return,Annual Volatility,Sharpe Ratio
BTC-USD,0.18195661539269062,0.6158588427371182,0.2954518190954344
CL=F,0.301666890509453,0.4549469214720655,0.6630815074720224
GOLDBEES.NS,-0.8375060992298559,2.06158024927328,-0.4062447239320817
ICICIBANK.NS,0.3165862012720217,0.2711351166704607,1.167632600157812
MUTHOOTFIN.NS,0.3715377982310414,0.33468696650478097,1.1101053683419548
RELIANCE.NS,0.32274571001960767,0.2679162898735445,1.2046513116912094
TCS.NS,0.18252388821891408,0.2365991305448819,0.7714478400599618
USDINR=X,0.10143229705422654,0.06265682047086434,1.6188548396162705
