Date,BTC-USD,CL=F,GOLDBEES.NS,ICICIBANK.NS,MUTHOOTFIN.NS,RELIANCE.NS,TCS.NS,USDINR=X,^NSEI
2023-10-20,0.021785663717057303,0.02028866164783947,0.005666874296574595,0.008255414404230634,0.011711443535936061,0.009798436007700051,0.010073224265534446,0.0019984488228643473,0.004843904652340241
2023-10-26,0.021971518007768462,0.01984062941206964,0.007849640563052113,0.008326253579471785,0.011768176935473272,0.008222065393519967,0.01014806461609698,0.002071831213082588,0.004988547423023102
2023-10-27,0.021535865449910385,0.019575113238783266,0.0067985538268551075,0.008198473267759927,0.011791043858706359,0.008729370386685807,0.010312511055576986,0.0021181997660942573,0.005126640009984529
2023-10-31,0.020968301475537538,0.019332890665680277,0.005898925401370905,0.008047491828496813,0.011965222752360647,0.009384861870081003,0.009994265794701309,0.002062085677101548,0.00523665354485471
2023-11-01,0.020417279636398722,0.019470113825611368,0.005501899673557182,0.008298860480996002,0.012127542623513406,0.009556393446553822,0.009948007327823883,0.0020184512188753732,0.005195560720836295
2023-11-02,0.02011274642751125,0.019063676054245714,0.005999127558775882,0.00831958725987143,0.012075813471659834,0.009657627995648746,0.009885395796832114,0.0019435872711591187,0.005171996233994023
2023-11-03,0.020895791471777572,0.019130746475307367,0.005540611386786614,0.008140781118355558,0.012055278822027641,0.009874874707611558,0.009894332874529094,0.0034274334993490505,0.005232694644850092
2023-11-07,0.020476713794177058,0.019280776943396454,0.00541344882920939,0.008135475366382719,0.012009566771693894,0.009480734066699305,0.009821852434908027,0.009088386276131604,0.005227344056793526
2023-11-08,0.020222723880266923,0.020000467325484116,0.006298058284338228,0.008057722217396295,0.011921787576843248,0.009413308716525834,0.009616214119687456,0.0030898090704318116,0.005179766356457337
2023-11-09,0.019589391558365046,0.020140755835729954,0.0055711767871710815,0.008203411330019705,0.011892155080982049,0.009558336328628608,0.009742483339043057,0.0030859193542992613,0.005128500726172761
2023-11-10,0.019511259315910225,0.020020479567249557,0.0066116980037176755,0.008121489390394553,0.011844563024600576,0.009698912209478232,0.00970756166364204,0.00308719102828282,0.005098945433955516
2023-11-16,0.019041938981453423,0.02003152257979322,0.0064069584250390724,0.00804121174831994,0.012238461341944307,0.009419098436730597,0.009516392773998125,0.0030961719710124224,0.005056139792921829
2023-11-17,0.019567941308449174,0.02073336391870019,0.005637313607970087,0.007977318018995365,0.012275032954997407,0.009023180375538165,0.011630522815785884,0.0031708215011222057,0.004987162208398787
2023-11-21,0.019130824208555098,0.021047341757793277,0.006580117214913337,0.008215969396168282,0.012250835127171806,0.009012507280695083,0.01007735404189092,0.0031116261495487785,0.00495086068649025
2023-11-22,0.019702363153053324,0.02094793645233084,0.00588436018576975,0.008172400164381676,0.012191205659480724,0.009381932996124984,0.010030767021217806,0.0030795583181642745,0.004959850605758486
2023-11-29,0.022400848295982233,0.020890666017655355,0.005911527963027212,0.008114081288686438,0.012143961703608456,0.009443416869120223,0.009833345877647956,0.0030783687622220656,0.005027761546257213
2023-11-30,0.02181311961260465,0.020783847074051547,0.00814606614941478,0.008284835001826047,0.014284030126060951,0.00954969717998759,0.00993219378874442,0.0030781928419544545,0.005052714027281215
2023-12-01,0.02181708303685746,0.020833396991850626,0.006094058575237197,0.008242156204176891,0.01788690236036478,0.009219995866124342,0.009872778205287508,0.0031167025503389136,0.005249292019742255
2023-12-05,0.022468540203207227,0.020897128697319432,0.005646697166095385,0.00831211200496303,0.018161205745434505,0.00930540714081455,0.011439090448584798,0.003075668085931536,0.005275507329017247
2023-12-06,0.022467973230549464,0.02081432688663095,0.008155599046633993,0.008705746017713761,0.018405306426046816,0.009473423895346063,0.011439944323044062,0.003157323892064226,0.005388558819174962
2023-12-07,0.022169300609670664,0.021147761286631407,0.006365061771263496,0.008730096031635444,0.017752705125243937,0.009892674182945175,0.011510611455216264,0.00311903346670803,0.005203419205864519
2023-12-08,0.02169866538356283,0.021051239049082834,0.006033326888066149,0.008684364927881704,0.0173609251374232,0.01024889432589726,0.009913226398520445,0.003045439023978558,0.005097437658998723
2023-12-12,0.02136049354803634,0.021111997201636878,0.005636767266400218,0.008711982513347373,0.016915209210454463,0.010184731392856528,0.009835526629575004,0.003036248356341092,0.00498211012376959
2023-12-13,0.0211163131029677,0.02135342290070899,0.005638931271880004,0.008645114192954245,0.013573749316736302,0.009370574954307787,0.00975342468062562,0.0030679201076478186,0.004892339732121547
2023-12-14,0.02092134935934521,0.021301090669160607,0.005498014361666288,0.008583017599452491,0.01383143022133323,0.009224601367152068,0.010231613409867096,0.0030175978729117814,0.004897465655868112
2023-12-15,0.021128033912244878,0.021390336012232787,0.00839206003472071,0.008816696848127324,0.013861212037365962,0.009201830540163752,0.010485068604479201,0.003064071390575695,0.005053380084679197
2023-12-19,0.020821804201580005,0.021309208819411986,0.006605278927726118,0.00879015228934214,0.013460645150485718,0.00907531336571964,0.019152598560874885,0.0030038565972739613,0.00529525933392965
2023-12-20,0.02073051084536058,0.0213865864057655,0.005928395319756263,0.008770680224793919,0.013351646459589622,0.008988690273121387,0.013636405636364318,0.003007647949422698,0.005237020928222832
2023-12-21,0.02099687238990887,0.021236231285156403,0.005910260246474075,0.008768243890042661,0.01785823883091236,0.009193373131121545,0.01210063507386326,0.0030046628371374435,0.0055349827223263644
2023-12-22,0.02053033561738774,0.021089660381558684,0.005747117558877361,0.00868769448578375,0.014525420730120857,0.009167915082541587,0.011581272646642002,0.0030621569484272386,0.005513537482451909
2023-12-27,0.020042015705761026,0.02097362498787834,0.006009843980839483,0.008699302517613089,0.014641455806034417,0.00893771462573781,0.011747204235047371,0.0030718319313404615,0.005490793046711439
2023-12-28,0.020011533117686237,0.020958034180431163,0.005831721742077068,0.00867265430540544,0.015214050048161504,0.008753443740506092,0.01142859816661431,0.0029837637698502373,0.005557111872998705
2023-12-29,0.019701252603892248,0.021097157895505602,0.005771874345847473,0.008621052774170497,0.014157176050305168,0.009379357290704078,0.01126432044855285,0.0029910179811456373,0.005551304978873006
2024-01-03,0.019689835776354647,0.021070419059868922,0.005781826476807644,0.008634004563471387,0.014169290059302769,0.009212036122882645,0.011205443462181537,0.005267099027676754,0.00552615647457344
2024-01-04,0.02107425924808066,0.02120477449153768,0.006392586521757299,0.008579754658444788,0.014470306045486308,0.009110497226615817,0.013517810951321063,0.0030865998783953276,0.005557876699290459
2024-01-05,0.021352040640329605,0.021081688976920292,0.0060715528246234355,0.00853791723969675,0.01733685121495295,0.008894520512912238,0.0119209312911931,0.0030849948528329403,0.005561081122426058
2024-01-09,0.020806030440962207,0.021086320013956536,0.0058386966017783025,0.008525546135542836,0.014903887148830099,0.008677164128617045,0.012502456750881952,0.0031076734715020948,0.005532445681770323
2024-01-10,0.02074813350974612,0.0210560403879837,0.005722808065353634,0.008470901642465056,0.013485311302483321,0.008711928409932497,0.01160039264790182,0.003153094150969248,0.005494943298506004
2024-01-11,0.020617493177948677,0.020988331196513107,0.0056644895997872225,0.008556214933723895,0.01325415735526127,0.009507030595159673,0.011485664992307396,0.003082347437611751,0.005470102961474052
2024-01-12,0.020470792484762943,0.020905448439607902,0.005620497421186006,0.008523005438966516,0.013656549045422692,0.012230403277356559,0.011443190806937977,0.0031126664683343965,0.00542776917081874
2024-01-17,0.023104566877620285,0.02081729109305595,0.005617274202549966,0.008579780387982199,0.013786088788999878,0.01188491706876302,0.014490935653882176,0.003059207406025358,0.0055346370664628615
2024-01-18,0.023037706904837547,0.020712514137470862,0.006065518002817992,0.008946006551962076,0.014391375386361588,0.01167992245859256,0.0122309913617237,0.003162359610912804,0.005934545161718992
2024-01-19,0.023326834761800815,0.02072398216282448,0.0058363709211004125,0.008919624816108264,0.017184488244557827,0.009632501427590427,0.011868008254628262,0.0030429520534640815,0.005922849654282492
2024-01-24,0.02328460879699236,0.020658023027380942,0.006039180727322003,0.008959788840546785,0.02078154027301905,0.009424617799874899,0.012083865432796832,0.00302287245391558,0.005930488442589987
2024-01-25,0.023226459904871793,0.020588357489248477,0.005720605729098532,0.009290512497909804,0.01877331044899979,0.009589184760192541,0.011821773714564492,0.003034576400391642,0.005964949255389849
2024-01-30,0.023166376389222344,0.020708177973446814,0.0057623708229448825,0.009296098959705642,0.014044670153485615,0.009431902079895355,0.011869307892957386,0.0030500190235792733,0.0059593123599951045
2024-01-31,0.025267477096477607,0.020665675225663458,0.00571259121972734,0.009263420598954722,0.012986181966253644,0.009965004273804548,0.011592233656619344,0.002985320322720318,0.0064917513819409975
2024-02-01,0.022412817542751356,0.020759499536444695,0.00576410450803961,0.009277745002246426,0.012950778525674193,0.012072839720783877,0.011550779563401573,0.0029827411923499664,0.006659450956686523
2024-02-02,0.022333752146715718,0.020824158567900288,0.005656941123102754,0.009251972256324247,0.017288205434553342,0.011760646024950316,0.011789115695821696,0.0029880802573151576,0.006433319249726944
2024-02-06,0.022228960173536153,0.020858433891302312,0.005614002158465581,0.009224395263354765,0.014098057271268364,0.012268748809322952,0.011687683292101974,0.003032903531877389,0.006441838104878075
2024-02-07,0.022163929876388492,0.020806748778633963,0.0055583362210597865,0.009203325111316113,0.015595872421531747,0.011859119107441848,0.018013910798249908,0.0029932191840535945,0.006450690464211095
2024-02-08,0.022098507265841984,0.02077940947261655,0.005763838745516468,0.00919328747164424,0.01735113144587339,0.010096251504519413,0.013437580583409754,0.0029820225706573542,0.006307437268437108
2024-02-09,0.02211748649056249,0.020819045572990413,0.005713905107153134,0.01035494635070824,0.027733890281411072,0.010068850128068532,0.012351801801724826,0.0029908428616756545,0.0066815547032208315
2024-02-13,0.025148158625055813,0.020785307962485403,0.004897343463280424,0.011369971514411235,0.014569543662798048,0.010018934368390277,0.01152672606953378,0.00297795203230742,0.006500585542757426
2024-02-14,0.02471599222957582,0.020650933036786584,0.004732593952465814,0.012562409165001625,0.014311581965013198,0.009972824814247872,0.011664277157497134,0.00297375477286757,0.006429840407893572
2024-02-15,0.026906488283391438,0.020644740013995043,0.005693636305835409,0.012240847916423308,0.01370960642652454,0.009965334478536403,0.012237298332792811,0.0029744483260413135,0.006341133669896775
2024-02-16,0.025049185876891283,0.020601062489373788,0.005584176944966326,0.011822177345925505,0.018578621321799008,0.009938804122410933,0.011479988032897242,0.0029655752118773176,0.006250840735620385
2024-02-21,0.02390588327399489,0.020588694691219437,0.005520084745142245,0.0114853617717393,0.014109209372242255,0.009920815153239696,0.011371364315349314,0.0029579566149478954,0.006230116545081845
2024-02-22,0.024093991162078852,0.020546469678431628,0.0054226694036235675,0.01112945651059423,0.01418542537903702,0.009863159158754837,0.011830230559501505,0.003075667866781375,0.006263607996099702
2024-02-23,0.02412656691503727,0.020437004511094717,0.005327266980325917,0.011000372701675573,0.01391388557645732,0.009852944974199815,0.01482199918764688,0.0029663461104343465,0.006286468327611007
2024-02-27,0.024122345587925073,0.020572860783921145,0.00580822438731279,0.010685784282319007,0.01441858208754589,0.009789727167496732,0.01161742459169629,0.002953032563934786,0.006155351491456272
2024-02-28,0.027611741284513727,0.020579697914806853,0.005576385043818206,0.010522927902464991,0.013922571493261886,0.009733032719565809,0.015059053198811097,0.0029394241296427596,0.006098971967270652
2024-02-29,0.045663169834125696,0.020547845508115,0.005235614529774854,0.010543371977446632,0.015121093308423539,0.009970336934794356,0.011177490397285656,0.002947437583327619,0.006280245627260591
2024-03-01,0.027068450425163048,0.020539700146771107,0.005180543716472207,0.010333463057539675,0.017308983618683903,0.01063466542630111,0.01141484109529302,0.0028837408090369465,0.006231872778903314
