Date,BTC-USD,CL=F,GOLDBEES.NS,ICICIBANK.NS,MUTHOOTFIN.NS,RELIANCE.NS,TCS.NS,USDINR=X
2024-01-03,0.019689835776354647,0.021070419059868922,0.005781826476807644,0.008634004563471387,0.014169290059302769,0.009212036122882645,0.011205443462181537,0.005267099027676754
2024-01-04,0.02107425924808066,0.02120477449153768,0.006392586521757299,0.008579754658444788,0.014470306045486308,0.009110497226615817,0.013517810951321063,0.0030865998783953276
2024-01-05,0.021352040640329605,0.021081688976920292,0.0060715528246234355,0.00853791723969675,0.01733685121495295,0.008894520512912238,0.0119209312911931,0.0030849948528329403
2024-01-09,0.020806030440962207,0.021086320013956536,0.0058386966017783025,0.008525546135542836,0.014903887148830099,0.008677164128617045,0.012502456750881952,0.0031076734715020948
2024-01-10,0.02074813350974612,0.0210560403879837,0.005722808065353634,0.008470901642465056,0.013485311302483321,0.008711928409932497,0.01160039264790182,0.003153094150969248
2024-01-11,0.020617493177948677,0.020988331196513107,0.0056644895997872225,0.008556214933723895,0.01325415735526127,0.009507030595159673,0.011485664992307396,0.003082347437611751
2024-01-12,0.020470792484762943,0.020905448439607902,0.005620497421186006,0.008523005438966516,0.013656549045422692,0.012230403277356559,0.011443190806937977,0.0031126664683343965
2024-01-17,0.023104566877620285,0.02081729109305595,0.005617274202549966,0.008579780387982199,0.013786088788999878,0.01188491706876302,0.014490935653882176,0.003059207406025358
2024-01-18,0.023037706904837547,0.020712514137470862,0.006065518002817992,0.008946006551962076,0.014391375386361588,0.01167992245859256,0.0122309913617237,0.003162359610912804
2024-01-19,0.023326834761800815,0.02072398216282448,0.0058363709211004125,0.008919624816108264,0.017184488244557827,0.009632501427590427,0.011868008254628262,0.0030429520534640815
2024-01-24,0.02328460879699236,0.020658023027380942,0.006039180727322003,0.008959788840546785,0.02078154027301905,0.009424617799874899,0.012083865432796832,0.00302287245391558
2024-01-25,0.023226459904871793,0.020588357489248477,0.005720605729098532,0.009290512497909804,0.01877331044899979,0.009589184760192541,0.011821773714564492,0.003034576400391642
2024-01-30,0.023166376389222344,0.020708177973446814,0.0057623708229448825,0.009296098959705642,0.014044670153485615,0.009431902079895355,0.011869307892957386,0.0030500190235792733
2024-01-31,0.025267477096477607,0.020665675225663458,0.00571259121972734,0.009263420598954722,0.012986181966253644,0.009965004273804548,0.011592233656619344,0.002985320322720318
2024-02-01,0.022412817542751356,0.020759499536444695,0.00576410450803961,0.009277745002246426,0.012950778525674193,0.012072839720783877,0.011550779563401573,0.0029827411923499664
2024-02-02,0.022333752146715718,0.020824158567900288,0.005656941123102754,0.009251972256324247,0.017288205434553342,0.011760646024950316,0.011789115695821696,0.0029880802573151576
2024-02-06,0.022228960173536153,0.020858433891302312,0.005614002158465581,0.009224395263354765,0.014098057271268364,0.012268748809322952,0.011687683292101974,0.003032903531877389
2024-02-07,0.022163929876388492,0.020806748778633963,0.0055583362210597865,0.009203325111316113,0.015595872421531747,0.011859119107441848,0.018013910798249908,0.0029932191840535945
2024-02-08,0.022098507265841984,0.02077940947261655,0.005763838745516468,0.00919328747164424,0.01735113144587339,0.010096251504519413,0.013437580583409754,0.0029820225706573542
